Name,ISIN,Symbol,Market,Currency,Open Price,High Price,low Price,last Price,last Trade MIC Time,Time Zone,Volume,Turnover,Closing Price,Closing Price DateTime
28 Jan 2024,,,,,,,,,,,,,,
All datapoints provided as of end of last active trading day.,,,,,,,,,,,,,,
SOFINA,BE0003717312,SOF,Euronext Brussels,EUR,222.00,222.00,218.80,220.60,26/01/2024 17:35,CET,12186,2687764.20,220.60,26/01/2024
SOFINA,BE0003717312,2SOF,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,220.60,26/01/2024
SOFTEC,IT0004735327,YSFT,Euronext Growth Milan,EUR,0.59,0.60,0.58,0.60,26/01/2024 17:18,CET,15390,9005.85,0.60,26/01/2024
SOFTIMAT,BE0003773877,SOFT,Euronext Growth Brussels,EUR,1.35,1.35,1.35,1.35,26/01/2024 16:30,CET,375,506.25,1.35,26/01/2024
SOFTLAB,IT0001469953,SFT,Euronext Milan,EUR,1.645,1.755,1.58,1.70,26/01/2024 17:35,CET,13511,22324.96,1.70,26/01/2024
SOFTOX SOLUTIONS,NO0010811961,SOFTX,Euronext Growth Oslo,NOK,2.00,2.06,1.91,1.91,26/01/2024 16:27,CET,17189,33125.13,1.91,26/01/2024
SOGECLAIR,FR0000065864,ALSOG,Euronext Growth Paris,EUR,17.70,17.70,17.60,17.70,26/01/2024 16:17,CET,656,11596.20,17.70,26/01/2024
SOGEFI,IT0000076536,SGF,Euronext Milan,EUR,1.842,1.868,1.826,1.868,26/01/2024 17:35,CET,182811,336904.188,1.868,26/01/2024
SOGN SPAREBANK,NO0006000603,SOGN,Oslo Børs,NOK,174.00,179.00,174.00,179.00,26/01/2024 16:25,CET,801,141917.00,179.00,26/01/2024
SOITEC,FR0013227113,SOI,Euronext Paris,EUR,135.50,137.50,134.90,136.00,26/01/2024 17:36,CET,92114,12536412.90,136.00,26/01/2024
SOITEC,FR0013227113,2SOI,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,136.00,26/01/2024
SOL,IT0001206769,SOL,Euronext Milan,EUR,26.55,26.90,26.25,26.45,26/01/2024 17:35,CET,13171,348726.45,26.45,26/01/2024
SOL CAP MANAG SIM,IT0005200248,SCM,Euronext Growth Milan,EUR,4.00,4.00,4.00,4.00,19/01/2024 10:26,CET,360,1440.00,4.00,26/01/2024
SOLID WORLD GROUP,IT0005497893,S3D,Euronext Growth Milan,EUR,4.14,4.14,4.00,4.07,26/01/2024 17:27,CET,35475,143937.75,4.07,26/01/2024
SOLOCAL GROUP,FR00140006O9,LOCAL,Euronext Paris,EUR,0.0835,0.084,0.0827,0.084,26/01/2024 17:35,CET,77337,6469.6271,0.084,26/01/2024
SOLSTAD OFFSHORE,NO0003080608,SOFF,Oslo Børs,NOK,36.50,36.52,35.70,36.14,26/01/2024 16:25,CET,241964,8707258.94,36.14,26/01/2024
SOLUTIONS 30 SE,FR0013379484,2S30,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,2.592,26/01/2024
SOLUTIONS 30 SE,FR0013379484,S30,Euronext Paris,EUR,2.774,2.774,2.57,2.592,26/01/2024 17:35,CET,1068691,2824693.618,2.592,26/01/2024
SOLVAC NOM(RETAIL),BE0003545531,SOLV,Euronext Brussels,EUR,118.00,119.00,118.00,119.00,26/01/2024 15:03,CET,1397,166046.00,119.00,26/01/2024
SOLVAY,BE0003470755,SOLB,"Euronext Brussels, Paris",EUR,25.69,26.96,25.62,26.41,26/01/2024 17:35,CET,712857,18842625.59,26.41,26/01/2024
SOLVAY,BE0003470755,4SOLBM,EuroTLX,EUR,25.14,25.14,25.14,25.14,16/01/2024 11:32,CET,200,5028.00,26.57,26/01/2024
SOLVAY,BE0003470755,2SOLB,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,26.41,26/01/2024
SOLVAY (CP 41),BE0099887748,-,Euronext Expert Market,EUR,48.00,48.00,48.00,48.00,30/05/2017 11:30,CET,2,96.00,48.00,26/01/2024
SOMEC,IT0005329815,SOM,Euronext Milan,EUR,27.50,27.60,27.00,27.40,26/01/2024 17:35,CET,880,24024.40,27.40,26/01/2024
SONAE,PTSON0AM0001,SON,Euronext Lisbon,EUR,0.903,0.9055,0.895,0.899,26/01/2024 22:35,BST,2276395,2045399.2745,0.899,26/01/2024
SONAE,PTSON0AM0001,2SON,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,0.899,26/01/2024
"SONAECOM,SGPS",PTSNC0AM0006,SNC,Euronext Lisbon,EUR,2.63,2.63,2.63,2.63,26/01/2024 20:47,BST,1510,3971.30,2.63,26/01/2024
SONAGI,PTSNG0AM0007,SNG,Euronext Access Lisbon,EUR,0.90,0.90,0.90,0.90,10/01/2024 21:30,BST,2,1.80,0.90,26/01/2024
SOPRA STERIA GROUP,FR0000050809,2SOP,Trading After Hours,EUR,-,-,-,-,-,CET,-,-,214.00,26/01/2024
SOPRA STERIA GROUP,FR0000050809,SOP,Euronext Paris,EUR,210.00,215.60,207.40,214.00,26/01/2024 17:35,CET,40655,8640758.40,214.00,26/01/2024
SOSTRAVEL.COM,IT0005338675,SOS,Euronext Growth Milan,EUR,1.08,1.08,1.08,1.08,26/01/2024 17:35,CET,2750,2970.00,1.08,26/01/2024
SPADEL,BE0003798155,SPA,Euronext Brussels,EUR,152.00,152.00,152.00,152.00,24/01/2024 11:30,CET,30,4560.00,152.00,26/01/2024
SPARBNK 68 GR NORD,NO0010887110,SB68,Euronext Growth Oslo,NOK,161.00,161.00,161.00,161.00,25/01/2024 14:58,CET,190,30590.00,161.00,26/01/2024
SPAREBANK 1 SMN,NO0006390301,MING,Oslo Børs,NOK,145.80,145.80,144.20,144.80,26/01/2024 16:25,CET,41943,6072964.60,144.80,26/01/2024
SPAREBANK 1 SR-BK,NO0010631567,SRBNK,Oslo Børs,NOK,131.10,132.30,131.00,132.00,26/01/2024 16:25,CET,170248,22466988.80,132.00,26/01/2024
SPAREBANK 1 SØRØ,NO0006000207,SOON,Oslo Børs,NOK,64.60,64.60,63.40,63.60,26/01/2024 16:25,CET,19671,1252432.00,63.60,26/01/2024
SPAREBANKEN MØRE,NO0012483207,MORG,Oslo Børs,NOK,85.00,85.51,84.00,85.51,26/01/2024 16:25,CET,59544,5033943.76,85.51,26/01/2024
SPAREBANKEN SØR,NO0006001502,SOR,Oslo Børs,NOK,148.00,148.00,146.50,147.00,26/01/2024 16:25,CET,3001,441673.00,147.00,26/01/2024
